Image,SSIM,PSNR,LPIPS
ds_videoframe_1058112_blocking50.png,0.9265,30.7186,0.0452
ds_videoframe_1330750_blocking50.png,0.9635,32.8608,0.0284
ds_videoframe_4149212_blocking50.png,0.9359,30.9263,0.0476
ds_videoframe_4186805_blocking50.png,0.9464,32.4430,0.0362
ds_videoframe_4973027_blocking50.png,0.9313,30.5497,0.0457
ds_videoframe_5318651_blocking50.png,0.9675,34.8833,0.0284
ds_videoframe_5553833_blocking50.png,0.9550,30.8530,0.0435
jqm_videoframe_154268_blocking50.png,0.9840,35.8477,0.0095
jqm_videoframe_168615_blocking50.png,0.9879,39.4842,0.0071
jqm_videoframe_175710_blocking50.png,0.9840,36.1111,0.0096
jqm_videoframe_195758_blocking50.png,0.9848,37.2877,0.0091
jqm_videoframe_229714_blocking50.png,0.9875,37.5604,0.0084
jqm_videoframe_232891_blocking50.png,0.9876,39.2154,0.0081
jqm_videoframe_292454_blocking50.png,0.9837,37.6959,0.0096
jqm_videoframe_364723_blocking50.png,0.9898,39.8170,0.0076
jqm_videoframe_471660_blocking50.png,0.9861,38.4761,0.0086
mls_videoframe_169661_blocking50.png,0.9722,35.5158,0.0190
mls_videoframe_176270_blocking50.png,0.9419,31.8640,0.0483
mls_videoframe_25843_blocking50.png,0.9820,36.9405,0.0140
mls_videoframe_264786_blocking50.png,0.9833,37.1894,0.0118
mls_videoframe_290487_blocking50.png,0.9780,36.7676,0.0126
mls_videoframe_38141_blocking50.png,0.9840,38.7029,0.0110
mls_videoframe_387254_blocking50.png,0.9848,38.0596,0.0082
mls_videoframe_40376_blocking50.png,0.9726,38.1438,0.0164
mls_videoframe_45332_blocking50.png,0.9617,35.3615,0.0255
mls_videoframe_65321_blocking50.png,0.9856,39.1203,0.0097
mls_videoframe_73902_blocking50.png,0.9714,37.5052,0.0266
mls_videoframe_99672_blocking50.png,0.9766,39.1776,0.0201
Average,0.9713,36.0385,0.0206
